LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
439214		62812	61716	46.6692220535	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439215		61716	61669	71.6396600449	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439216		61669	61640	20.2065854662	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439217		61640	61690	21.4855521496	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439218		61690	61658	64.796557961	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439219		143808	143810	36.4610923848	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439220	улица Руднева	1577	37225	64.4862141309	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439221	Луговая улица	889	11822	64.5738292166	MAJOR	2	37.2902423866	500	0	37.2902423866	500	ANY
439222	Луговая улица	11822	4942	252.462785466	MAJOR	2	37.2902423866	500	0	37.2902423866	500	ANY
439223	переулок Адмирала Макарова	6614	40505	189.841547342	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439224		1615	6834	56.8550636869	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439225	Инженерный переулок	18140	6834	56.0575372126	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439226	Инженерный переулок	6834	48171	531.692391609	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439227	улица Суханова	82110	80551	50.9744872703	MINOR	2	37.2902423866	500	0	37.2902423866	500	ANY
439228	Русская улица	5907	108080	71.6347208736	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439229	проход Раздевалка	10001	14937	176.229161155	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439230		62233	62230	17.5843065402	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439231		82475	89653	4.91826703693	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439232		89653	82223	85.2433724209	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439233		82223	82471	10.3335482754	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439234		59907	59893	21.0231740135	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439235		59893	59855	18.5687064582	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439236		59855	59907	21.5833148844	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439237		66678	66690	76.8266948238	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439238		66656	66653	284.079399308	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439239		66685	104392	259.919843733	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439240		11876	66663	81.6667123828	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439241		4705	23740	127.196623522	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439242		23740	142973	8.00363958025	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439243		102784	47880	148.836965682	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439244		66692	108769	58.8320169834	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439245		108769	66670	92.7500149126	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439246		66683	138627	33.5675324075	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439247		138627	136420	62.378769414	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439248		66686	76470	6.67124703262	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439249		76470	137168	32.1130852813	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439250		137168	66694	22.1124254232	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439251		66694	135942	78.9535378096	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439252		135942	66700	27.697613761	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439253		66700	135949	10.4814074615	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439254		135949	137178	33.6520930652	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439255		137178	66684	25.8403077349	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439256		66684	66658	46.6987511977	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439257	Шкотовский переулок	81420	81407	266.776907409	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439258		81453	81455	58.6298320536	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
