['./prepVladGraph2012.py', 'links.txt']
11809 11934 3.049224
11934 11812 51.545884
11812 11802 14.103535
11802 11816 107.928482
11823 11835 25.900277
11835 11838 57.762540
11838 11933 154.109752
11933 11843 4.227958
11838 11848 84.475119
11848 11932 140.107177
11932 11804 93.512888
11848 11867 121.474611
11867 11874 132.442398
11874 11876 20.526553
11876 16754 67.068627
11874 11883 210.652377
11883 11887 158.316343
11887 11890 75.013327
11890 11891 41.744242
11891 12158 209.216420
12158 34565 24.665336
11890 11898 26.464039
37835 37834 13.574690
37837 37836 17.446914
37836 37835 48.207672
37839 37838 18.795627
13343 5455 115.935603
86576 135488 10.833116
135488 137315 50.422480
137315 143176 90.961432
143176 1258 40.354900
1258 86583 53.329971
86583 87569 141.669944
87569 86575 101.496011
86575 1259 195.692705
1259 89161 8.380717
89161 94725 11.872544
94725 3180 15.957508
3180 104044 126.878013
104044 104255 18.857484
104255 89042 47.579957
89042 89023 108.994016
