node	x	y	z
1202	734085.080035	4778231.122892	0.000000
1203	734340.294307	4778187.269227	0.000000
1222	738732.325730	4776014.717779	0.000000
1258	741249.891597	4775241.673372	0.000000
1259	741084.198296	4774997.370248	0.000000
1285	737596.081338	4786035.980674	0.000000
1308	739601.623174	4788088.420989	0.000000
1311	740486.405585	4789300.423464	0.000000
1312	741242.612619	4789824.857595	0.000000
1316	743062.380502	4790113.234930	0.000000
1317	743389.193177	4790229.032958	0.000000
1319	743557.727767	4790324.765184	0.000000
1327	746605.598342	4791523.565445	0.000000
1334	748304.522532	4793854.613355	0.000000
1337	749329.798707	4794937.189191	0.000000
1404	737438.278249	4787089.817230	0.000000
1479	734505.363214	4777251.890476	0.000000
1480	734511.762978	4777275.661024	0.000000
1481	736385.582976	4778986.298639	0.000000
1485	736306.539383	4779039.141920	0.000000
1486	736463.115944	4778982.874013	0.000000
1493	736421.423504	4778955.429651	0.000000
1498	737482.962515	4778815.155165	0.000000
1499	736906.031600	4778436.108416	0.000000
1506	737068.429561	4778125.074912	0.000000
1508	738008.970993	4778553.343855	0.000000
1512	737998.709736	4778615.777698	0.000000
1513	737956.363543	4778616.689164	0.000000
1515	737976.258728	4778559.895848	0.000000
1516	737755.554751	4778646.483808	0.000000
1518	737987.771176	4778136.330531	0.000000
1519	738554.514281	4778272.494472	0.000000
1520	738109.026185	4778551.524960	0.000000
1521	738345.427208	4778330.349042	0.000000
1523	738048.603496	4778741.059667	0.000000
1528	738261.437976	4779390.836960	0.000000
1536	738772.405887	4779915.834149	0.000000
1565	739225.432999	4779193.470637	0.000000
1569	739085.269546	4779263.129390	0.000000
1573	739405.500405	4779425.984654	0.000000
1577	739757.853085	4779949.057293	0.000000
1578	739782.863680	4780481.844475	0.000000
1584	740156.760526	4781358.516425	0.000000
1599	739458.113130	4782731.911415	0.000000
1614	734089.323103	4777587.639309	0.000000
1615	734102.791895	4777599.154371	0.000000
1639	736456.137863	4778423.637014	0.000000
1653	743928.999905	4789922.721839	0.000000
1654	744025.131899	4789781.620377	0.000000
1655	744033.936026	4789770.860751	0.000000
1657	744153.791709	4789641.634102	0.000000
1671	745204.818964	4789023.535395	0.000000
1672	745225.748193	4789023.056783	0.000000
1674	745498.493924	4788997.770406	0.000000
1676	745781.714492	4788986.552469	0.000000
1685	746616.445344	4789068.751039	0.000000
1758	750643.915051	4788874.468630	0.000000
1786	751867.191349	4787913.996118	0.000000
1803	756508.094064	4788928.457154	0.000000
1809	755790.003369	4788715.777869	0.000000
1810	755713.145957	4788714.707596	0.000000
1834	754444.269895	4787635.374596	0.000000
1836	754101.899752	4787533.207848	0.000000
1844	753226.210253	4787364.883345	0.000000
1845	753177.153294	4787347.629359	0.000000
1849	752836.810889	4787179.764272	0.000000
1858	752593.628545	4787337.565909	0.000000
1922	747829.168626	4782705.311905	0.000000
1934	748545.332608	4782006.369182	0.000000
1996	759900.787730	4791005.671743	0.000000
2024	757899.814778	4792975.005200	0.000000
2083	747489.900797	4779915.637017	0.000000
2097	747201.844496	4779951.403579	0.000000
2100	746934.460589	4780070.369573	0.000000
2127	745272.014716	4779284.308606	0.000000
2133	745271.653646	4779151.372266	0.000000
2134	745315.534115	4779039.400996	0.000000
2140	745322.923860	4778853.654515	0.000000
2143	745155.955487	4778908.261418	0.000000
2148	744887.763324	4779230.905087	0.000000
2169	744148.707974	4778713.744338	0.000000
2191	743144.684410	4778041.259205	0.000000
2209	743374.250489	4777584.718027	0.000000
2221	742831.349217	4777082.848076	0.000000
2222	742654.782304	4776778.640606	0.000000
2253	734660.846157	4777613.122059	0.000000
2254	735365.964210	4777392.615661	0.000000
2261	735932.252091	4777500.806314	0.000000
2265	737620.697853	4776087.669980	0.000000
2268	737341.742683	4776248.325840	0.000000
2270	737633.585449	4776079.568264	0.000000
2274	737579.200718	4776093.707256	0.000000
2284	734656.404565	4777886.634098	0.000000
2287	734658.947689	4777858.201001	0.000000
2290	735560.768635	4777833.742886	0.000000
2292	739064.679615	4777122.840860	0.000000
2309	737196.718876	4775544.900373	0.000000
2318	736163.826676	4776349.803823	0.000000
2319	735970.302390	4776384.911156	0.000000
2323	738731.237302	4777414.664340	0.000000
2324	737996.479442	4777413.495584	0.000000
2329	738549.914388	4778231.012800	0.000000
2366	738030.593368	4778551.575143	0.000000
2369	737860.978636	4778622.654089	0.000000
2371	737941.901092	4778570.182304	0.000000
2374	735933.818603	4775922.220232	0.000000
2375	735996.935511	4775917.944260	0.000000
2378	735564.588098	4777854.034178	0.000000
2379	735531.449964	4777760.031607	0.000000
2385	734150.709280	4777332.574540	0.000000
2389	733842.643317	4776526.173229	0.000000
2392	734249.916940	4777188.155187	0.000000
2399	734219.571181	4777071.295690	0.000000
2401	734100.455821	4777096.335419	0.000000
2403	733001.415876	4775768.966866	0.000000
2405	735127.442686	4778632.048941	0.000000
2420	735407.166374	4777560.582909	0.000000
2426	735132.931922	4778828.148416	0.000000
2428	735264.753754	4779076.411942	0.000000
2434	735291.501153	4779017.425189	0.000000
2452	737061.537690	4783935.234049	0.000000
2456	737143.342075	4784390.531638	0.000000
2458	736606.347411	4780784.294823	0.000000
2460	736860.969439	4779582.703824	0.000000
2461	735333.012573	4777579.915557	0.000000
2489	733028.682127	4775241.916445	0.000000
2490	732963.569009	4775130.215029	0.000000
2500	732889.965130	4775427.900475	0.000000
2502	733017.209725	4775200.873675	0.000000
2504	732835.789296	4774854.283528	0.000000
2507	732874.575931	4775456.206249	0.000000
2508	732980.473839	4775318.279644	0.000000
2513	732862.698533	4775489.290792	0.000000
2519	733670.174036	4776415.718104	0.000000
2526	734127.432152	4776677.861194	0.000000
2531	733901.227724	4776529.550759	0.000000
2534	737503.953223	4777419.297546	0.000000
2535	737596.429782	4777422.431991	0.000000
2538	737590.218269	4777667.423043	0.000000
2540	737587.069081	4777817.793732	0.000000
2542	737553.700400	4777391.131035	0.000000
2545	737547.221857	4777135.712549	0.000000
2546	739282.940406	4776525.454351	0.000000
2583	741366.998077	4776171.885449	0.000000
2588	741413.486507	4776127.906221	0.000000
2627	734582.963348	4778100.995820	0.000000
2629	734850.960209	4778166.068529	0.000000
2631	735056.500304	4779327.855905	0.000000
2632	734949.394196	4779336.491589	0.000000
2640	737040.267657	4778667.347924	0.000000
2646	733098.580854	4776116.185681	0.000000
2647	732973.440591	4776216.626434	0.000000
2657	735302.573972	4775809.440235	0.000000
2662	735040.568766	4775522.235365	0.000000
2678	735072.924135	4775160.854716	0.000000
2690	734717.635101	4774870.917679	0.000000
2691	734893.180682	4775095.863545	0.000000
2698	735084.889556	4775094.107414	0.000000
2709	735305.023907	4777409.536323	0.000000
2710	735338.653751	4777578.853892	0.000000
2729	733862.733031	4776821.617317	0.000000
2736	733455.182036	4776406.506516	0.000000
2742	737089.534284	4776114.701448	0.000000
2749	737316.247109	4776113.982614	0.000000
2750	737200.085618	4776130.911541	0.000000
2755	737364.987093	4776230.587825	0.000000
2756	737375.276576	4776243.966965	0.000000
2757	735978.509686	4777835.465076	0.000000
2768	734679.024057	4777614.181685	0.000000
2770	738927.703548	4776545.419538	0.000000
2771	734261.441050	4777883.518330	0.000000
2772	734175.022966	4777908.212244	0.000000
2773	734276.502232	4777962.648368	0.000000
2774	734177.621304	4777902.052599	0.000000
2779	735302.330426	4777420.540326	0.000000
2781	735169.334126	4777499.866462	0.000000
2782	735182.025336	4777496.812988	0.000000
2783	735194.260061	4777506.986783	0.000000
2784	735293.808617	4777479.077992	0.000000
2785	735313.607133	4777474.502188	0.000000
2786	734193.421136	4777979.150738	0.000000
2833	736751.985264	4782667.075821	0.000000
2881	737536.048029	4775296.049582	0.000000
2884	737434.576858	4775182.489047	0.000000
2890	736707.402553	4774701.562454	0.000000
2892	736673.817833	4774573.547568	0.000000
2893	737130.429578	4775860.499156	0.000000
2903	736954.812774	4776201.252659	0.000000
2934	737132.530444	4775890.060937	0.000000
2935	737130.555814	4775899.276984	0.000000
2938	737101.754661	4775883.720067	0.000000
2939	737106.971095	4775877.819140	0.000000
